DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	lineage
COLOR	#1f78b4

LEGEND_TITLE	lineage
LEGEND_SHAPES	1	1
LEGEND_COLORS	#a6cee3	#1f78b4
LEGEND_LABELS	A	B

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
ERR3623155	#a6cee3	A
ERR10659316	#a6cee3	A
HHH044	#a6cee3	A
HHH018	#a6cee3	A
ERR388367	#a6cee3	A
GCGS0306	#a6cee3	A
ERR9839240	#a6cee3	A
25825_2_70	#a6cee3	A
SRR3360688	#a6cee3	A
ERR349971	#a6cee3	A
SRR11904906	#a6cee3	A
ERR388428	#a6cee3	A
ERR502212	#a6cee3	A
SRR6765497	#a6cee3	A
AUNG322	#a6cee3	A
ERR3623422	#a6cee3	A
ERR502182	#a6cee3	A
ERR9838323	#a6cee3	A
SRR6765310	#a6cee3	A
SRR9985630	#a6cee3	A
SRR11904545	#a6cee3	A
SRR7401678	#a6cee3	A
ERR3325272	#a6cee3	A
25818_2_270	#a6cee3	A
GGG042	#a6cee3	A
EEE028	#a6cee3	A
ERR9839204	#a6cee3	A
SRR6765668	#a6cee3	A
DRR129094	#a6cee3	A
EEE035	#a6cee3	A
EEE020	#a6cee3	A
ERR9669009	#a6cee3	A
GGG006	#a6cee3	A
ERR9837827	#a6cee3	A
AUNG495	#a6cee3	A
ERR3623182	#a6cee3	A
EEE032	#a6cee3	A
SRR5827361	#a6cee3	A
SRR2736154	#a6cee3	A
GCGS0860	#a6cee3	A
ERR3623126	#a6cee3	A
ERR1469736	#a6cee3	A
GCGS0296	#a6cee3	A
ERR9838508	#a6cee3	A
DRR248391	#a6cee3	A
ERR349900	#a6cee3	A
JJJ024	#a6cee3	A
SRR6765565	#a6cee3	A
ERR349891	#a6cee3	A
ERR7976204	#a6cee3	A
ERR3578922	#a6cee3	A
SRR9877818	#a6cee3	A
HHH038	#a6cee3	A
SRR3349919	#a6cee3	A
ERR388430	#a6cee3	A
ERR388429	#a6cee3	A
ERR388451	#a6cee3	A
ERR388422	#a6cee3	A
DRR117953	#a6cee3	A
ERR502227	#a6cee3	A
AUNG892	#a6cee3	A
SRR5827243	#a6cee3	A
AUNG1939	#a6cee3	A
ERR1560874	#a6cee3	A
ERR3326032	#a6cee3	A
ERR449496	#a6cee3	A
SRR13305401	#a6cee3	A
GCGS0317	#a6cee3	A
ERR1560939	#a6cee3	A
ERR3851636	#a6cee3	A
ERR1143686	#a6cee3	A
ERR976912	#a6cee3	A
ERR3325360	#a6cee3	A
ERR2133974	#a6cee3	A
SRR5827030	#a6cee3	A
SRR959017	#a6cee3	A
GCGS0472	#a6cee3	A
GCGS0347	#a6cee3	A
SRR8071056	#a6cee3	A
SRR9878109	#a6cee3	A
SRR8071350	#a6cee3	A
GCGS0680	#a6cee3	A
GCGS0362	#a6cee3	A
SRR11903859	#a6cee3	A
GCGS0839	#a6cee3	A
JJJ020	#a6cee3	A
DRR248352	#a6cee3	A
GCGS0709	#a6cee3	A
SRR5827299	#a6cee3	A
GCGS0509	#a6cee3	A
ERR9838019	#a6cee3	A
ERR502211	#a6cee3	A
SRR5827236	#a6cee3	A
CCC032	#a6cee3	A
ERR3623414	#a6cee3	A
GGG036	#a6cee3	A
ERR3623170	#a6cee3	A
ERR3623184	#a6cee3	A
ERR3623231	#a6cee3	A
GCGS0624	#a6cee3	A
GGG022	#a6cee3	A
SRR6765518	#a6cee3	A
SRR6765489	#a6cee3	A
ERR349951	#a6cee3	A
ERR7986118	#a6cee3	A
ERR388452	#a6cee3	A
ERR363587	#a6cee3	A
DDD044	#a6cee3	A
21242_4_62	#a6cee3	A
DDD038	#a6cee3	A
SRR6765319	#a6cee3	A
ERR3623149	#a6cee3	A
DDD046	#a6cee3	A
Eth34-2022	#a6cee3	A
Eth35-2022	#a6cee3	A
Eth55-2022	#a6cee3	A
Eth52-2022	#a6cee3	A
Eth30-2022	#a6cee3	A
Eth46-2022	#a6cee3	A
Eth62-2023	#a6cee3	A
Eth51-2022	#a6cee3	A
Eth38-2022	#a6cee3	A
Eth87-2023	#a6cee3	A
Eth82-2023	#a6cee3	A
Eth77-2023	#a6cee3	A
Eth61-2023	#a6cee3	A
Eth91-2023	#a6cee3	A
Eth72-2023	#a6cee3	A
Eth67-2023	#a6cee3	A
Eth84-2023	#a6cee3	A
Eth63-2023	#a6cee3	A
Eth22-2022	#a6cee3	A
Eth21-2022	#a6cee3	A
Eth12-2021	#a6cee3	A
Eth36-2022	#a6cee3	A
Eth56-2022	#a6cee3	A
Eth53-2022	#a6cee3	A
Eth25-2022	#a6cee3	A
Eth73-2023	#a6cee3	A
Eth69-2023	#a6cee3	A
Eth81-2023	#a6cee3	A
Eth64-2023	#a6cee3	A
Eth65-2023	#a6cee3	A
Eth16-2022	#a6cee3	A
Eth29-2022	#a6cee3	A
Eth78-2023	#a6cee3	A
Eth66-2023	#a6cee3	A
Eth85-2023	#a6cee3	A
Eth01-2021	#a6cee3	A
Eth79-2023	#a6cee3	A
Eth32-2022	#a6cee3	A
Eth07-2021	#a6cee3	A
Eth50-2022	#a6cee3	A
EEE014	#a6cee3	A
ERR3325885	#a6cee3	A
AUNG299	#a6cee3	A
ERR388359	#a6cee3	A
ERR7993907	#a6cee3	A
ERR363625	#a6cee3	A
ERR1469734	#a6cee3	A
ERR388433	#a6cee3	A
21242_3_112	#a6cee3	A
SRR969353	#a6cee3	A
FL17	#a6cee3	A
ERR502217	#a6cee3	A
ERR349912	#a6cee3	A
DRR248415	#a6cee3	A
SRR955973	#a6cee3	A
ERR349970	#a6cee3	A
ERR9837378	#a6cee3	A
ERR388432	#a6cee3	A
SRR1661156	#a6cee3	A
DRR248432	#a6cee3	A
EEE034	#a6cee3	A
BH71	#a6cee3	A
LLL020	#a6cee3	A
ERR449500	#a6cee3	A
ERR9838513	#a6cee3	A
SRR1661157	#a6cee3	A
ERR388423	#a6cee3	A
SRR1661322	#a6cee3	A
ERR349926	#a6cee3	A
ERR363655	#a6cee3	A
SRR1661182	#a6cee3	A
GCGS1029	#a6cee3	A
DRR248387	#a6cee3	A
SRR5827214	#a6cee3	A
ERR485166	#a6cee3	A
GCGS0245	#a6cee3	A
ERR3325822	#a6cee3	A
SRR6765617	#a6cee3	A
ERR439371	#a6cee3	A
ERR9838261	#a6cee3	A
ERR439349	#1f78b4	B
ERR449578	#1f78b4	B
ERR439305	#1f78b4	B
ERR449565	#1f78b4	B
ERR439313	#1f78b4	B
ERR388320	#1f78b4	B
ERR779820	#1f78b4	B
ERR439285	#1f78b4	B
ERR439364	#1f78b4	B
ERR502223	#1f78b4	B
FFF041	#1f78b4	B
ERR439319	#1f78b4	B
ERR439312	#1f78b4	B
ERR779821	#1f78b4	B
ERR439338	#1f78b4	B
ERR439307	#1f78b4	B
ERR439329	#1f78b4	B
ERR439288	#1f78b4	B
SRR1661319	#1f78b4	B
ERR439292	#1f78b4	B
ERR439351	#1f78b4	B
ERR439284	#1f78b4	B
ERR439348	#1f78b4	B
ERR439344	#1f78b4	B
ERR439362	#1f78b4	B
ERR439323	#1f78b4	B
ERR439337	#1f78b4	B
ERR439334	#1f78b4	B
ERR449569	#1f78b4	B
ERR779802	#1f78b4	B
ERR439321	#1f78b4	B
ERR449556	#1f78b4	B
FA1090	#1f78b4	B
ERR439311	#1f78b4	B
ERR449572	#1f78b4	B
ERR439342	#1f78b4	B
ERR439315	#1f78b4	B
ERR439359	#1f78b4	B
ERR439367	#1f78b4	B
ERR449553	#1f78b4	B
ERR449555	#1f78b4	B
ERR449554	#1f78b4	B
ERR439335	#1f78b4	B
ERR449562	#1f78b4	B
ERR439336	#1f78b4	B
ERR775147	#1f78b4	B
ERR439324	#1f78b4	B
ERR439287	#1f78b4	B
ERR449566	#1f78b4	B
ERR779758	#1f78b4	B
ERR449571	#1f78b4	B
ERR449559	#1f78b4	B
ERR779836	#1f78b4	B
ERR439320	#1f78b4	B
ERR439309	#1f78b4	B
ERR449480	#1f78b4	B
ERR775141	#1f78b4	B
SRR8071121	#1f78b4	B
GCGS0248	#1f78b4	B
GCGS0870	#1f78b4	B
GCGS0072	#1f78b4	B
ERR502221	#1f78b4	B
ERR1602768	#1f78b4	B
ERR3851511	#1f78b4	B
ERR349923	#1f78b4	B
ERR1549677	#1f78b4	B
ERR10172670	#1f78b4	B
ERR779774	#1f78b4	B
ERR9838745	#1f78b4	B
ERR439327	#1f78b4	B
SRR11904417	#1f78b4	B
25818_2_181	#1f78b4	B
ERR3325564	#1f78b4	B
