DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	ethiopia
COLOR	#808080

LEGEND_TITLE	ethiopia
LEGEND_SHAPES	1	1
LEGEND_COLORS	#fdbf6f	#808080
LEGEND_LABELS	Ethiopia	Representative genomes

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
FFF047	#808080	Representative genomes
FL14	#808080	Representative genomes
FL17	#808080	Representative genomes
FL36	#808080	Representative genomes
FL43	#808080	Representative genomes
FL44	#808080	Representative genomes
GCGS0072	#808080	Representative genomes
GCGS0154	#808080	Representative genomes
GCGS0200	#808080	Representative genomes
GCGS0245	#808080	Representative genomes
GCGS0248	#808080	Representative genomes
GCGS0292	#808080	Representative genomes
GCGS0295	#808080	Representative genomes
GCGS0296	#808080	Representative genomes
GCGS0304	#808080	Representative genomes
GCGS0305	#808080	Representative genomes
GCGS0306	#808080	Representative genomes
GCGS0307	#808080	Representative genomes
GCGS0313	#808080	Representative genomes
GCGS0317	#808080	Representative genomes
GCGS0347	#808080	Representative genomes
GCGS0348	#808080	Representative genomes
GCGS0362	#808080	Representative genomes
GCGS0369	#808080	Representative genomes
GCGS0373	#808080	Representative genomes
GCGS0377	#808080	Representative genomes
GCGS0423	#808080	Representative genomes
GCGS0432	#808080	Representative genomes
GCGS0438	#808080	Representative genomes
GCGS0439	#808080	Representative genomes
GCGS0440	#808080	Representative genomes
GCGS0454	#808080	Representative genomes
GCGS0465	#808080	Representative genomes
GCGS0471	#808080	Representative genomes
GCGS0472	#808080	Representative genomes
GCGS0474	#808080	Representative genomes
GCGS0509	#808080	Representative genomes
GCGS0515	#808080	Representative genomes
GCGS0525	#808080	Representative genomes
GCGS0529	#808080	Representative genomes
GCGS0599	#808080	Representative genomes
GCGS0620	#808080	Representative genomes
GCGS0624	#808080	Representative genomes
GCGS0680	#808080	Representative genomes
GCGS0709	#808080	Representative genomes
GCGS0726	#808080	Representative genomes
GCGS0749	#808080	Representative genomes
GCGS0782	#808080	Representative genomes
GCGS0819	#808080	Representative genomes
GCGS0839	#808080	Representative genomes
GCGS0860	#808080	Representative genomes
GCGS0870	#808080	Representative genomes
GCGS1029	#808080	Representative genomes
GCGS1035	#808080	Representative genomes
GGG006	#808080	Representative genomes
GGG020	#808080	Representative genomes
GGG022	#808080	Representative genomes
GGG026	#808080	Representative genomes
GGG031	#808080	Representative genomes
GGG036	#808080	Representative genomes
GGG042	#808080	Representative genomes
HHH001	#808080	Representative genomes
HHH013	#808080	Representative genomes
HHH018	#808080	Representative genomes
HHH038	#808080	Representative genomes
HHH042	#808080	Representative genomes
HHH044	#808080	Representative genomes
JJJ010	#808080	Representative genomes
JJJ020	#808080	Representative genomes
JJJ024	#808080	Representative genomes
LLL004	#808080	Representative genomes
LLL016	#808080	Representative genomes
LLL017	#808080	Representative genomes
LLL020	#808080	Representative genomes
LLL023	#808080	Representative genomes
LLL029	#808080	Representative genomes
LLL045	#808080	Representative genomes
LLL046	#808080	Representative genomes
LLL049	#808080	Representative genomes
MA30	#808080	Representative genomes
MA43	#808080	Representative genomes
MA45	#808080	Representative genomes
MA65	#808080	Representative genomes
MA73	#808080	Representative genomes
MMM005	#808080	Representative genomes
Ng_140	#808080	Representative genomes
Ng_188	#808080	Representative genomes
POA37	#808080	Representative genomes
POA56	#808080	Representative genomes
POA58	#808080	Representative genomes
SP22	#808080	Representative genomes
SRR10619218	#808080	Representative genomes
SRR11903859	#808080	Representative genomes
SRR11903915	#808080	Representative genomes
SRR11903919	#808080	Representative genomes
SRR11904001	#808080	Representative genomes
SRR11904209	#808080	Representative genomes
SRR11904217	#808080	Representative genomes
SRR11904221	#808080	Representative genomes
SRR11904288	#808080	Representative genomes
SRR11904417	#808080	Representative genomes
SRR11904545	#808080	Representative genomes
SRR11904572	#808080	Representative genomes
SRR11904618	#808080	Representative genomes
SRR11904810	#808080	Representative genomes
SRR11904845	#808080	Representative genomes
SRR11904906	#808080	Representative genomes
SRR13300785	#808080	Representative genomes
SRR13300789	#808080	Representative genomes
SRR13300793	#808080	Representative genomes
SRR13300795	#808080	Representative genomes
SRR13300796	#808080	Representative genomes
SRR13305401	#808080	Representative genomes
SRR13305402	#808080	Representative genomes
SRR13305403	#808080	Representative genomes
